call_id,transcription,agent_notes,Fraud Tactics,Unnamed: 4
T00000001,"CCR: Thank you for calling [Company Name]. My name is [Representative Name]. How can I assist you today?
FC: Hi, I need to change the SIM card on my phone. I lost my phone and I need a new SIM activated.
CCR: I'm sorry to hear that you lost your phone. I'd be happy to assist you with that. For security purposes, can you please verify your account information? I'll need your full name, address, and the last four digits of your Social Security number.

FC: Sure, my name is John Smith, my address is 123 Main Street, Anytown, USA, and the last four digits of my Social are 1234.

CCR: Thank you, John. I appreciate your cooperation. Can you also provide me with the account passcode or PIN?

FC: Oh, I don't remember setting a passcode. Could you reset it for me?

CCR: Unfortunately, I can't reset the passcode without proper verification. Let me ask you a few security questions based on your account information. What is your mother's maiden name?

FC: It's Johnson.

CCR: Thank you. That matches our records. I will now send a one-time PIN to the phone number listed on your account. Please provide me with the code once you receive it.

FC: Actually, I don't have access to that number since I lost my phone. Can you send it to my email instead?

CCR: For security reasons, we can only send the one-time PIN to the phone number on file. Is there any other way you can access your old phone number?

FC: No, I can't access it. Can we skip this step? I really need to get this done quickly.

CCR: I understand your urgency, but we must follow our verification process to protect your account. If you can't receive the one-time PIN, we have to verify your identity in person at one of our stores.

FC: This is really inconvenient. I just need to get my new SIM working. I have all my details. Isn't there another way?

CCR: I'm afraid not, sir. Our verification process is in place for your security. If you visit one of our stores with a valid ID, they can assist you further.

FC: Fine, I’ll go to a store. Thanks for nothing.

CCR: I'm sorry for the inconvenience, but your security is our top priority. Have a good day.",SIM Swap Request with Multi-Step Verification Evasion,"Impersonation,Urgency,Evasion of Verification",
T00000002,"
FC: Hi, I received a notification about a suspicious activity on my account. Can you help me check it?
CCR: Sure, can you provide your account details to verify your identity?
FC: My name is Jane Smith, my address is 456 Elm St, and the last four of my Social are 1234.
CCR: Thank you. Can you also provide your account passcode?
FC: I forgot it. Can you tell me what email or phone number is on file for my account?",Phishing for Account Information,"Impersonation,Phishing,Evasion of Verification",
T00000003,"
FC: Hi, I lost my phone and I need to activate a new SIM card.
CCR: I'm sorry to hear that. Can you please verify your account information?
FC: My name is John Doe, my address is 123 Main St, and the last four of my Social are 5678.
CCR: Thank you. Can you provide your account passcode?
FC: I forgot my passcode. Can you reset it for me?
CCR: I'll need to send a one-time PIN to your registered phone number.
FC: I can't receive it since I lost my phone. Can you send it to my email instead?",SIM Swap Request with Multi-Step Verification Evasion,"Impersonation,Urgency,Evasion of Verification",
T00000004,"Fraudulent Customer (FC): Hi, I'm having trouble accessing my account. I think someone might have hacked it. Can you help me secure it?

Call Center Representative (CCR): I'm sorry to hear that. Let's get your account secured. Can you please verify your full name, address, and the last four digits of your Social Security number?

FC: Sure, my name is Emily Johnson, my address is 789 Maple Street, and the last four of my Social are 4321.

CCR: Thank you. Can you also provide your account passcode or PIN?

FC: I don't remember setting a passcode. Can you reset it for me?

CCR: For security reasons, I will need to send a one-time PIN to the phone number we have on file. Can you confirm that number for me?

FC: I can't access that number right now. Can you send it to my email instead?",Unauthorized Account Access,"Impersonation,Urgency,Evasion of Verification",
T00000005,"FC: Hi, I need to activate a new SIM card. I lost my phone and need a new SIM.

CCR: I'm sorry to hear that. Can you please verify your account information?

FC: My name is Michael Brown, my address is 123 Oak Avenue, and the last four of my Social are 9876.

CCR: Thank you. Can you provide your account passcode?

FC: I forgot my passcode. Can you reset it for me?

CCR: I'll need to send a one-time PIN to your registered phone number.

FC: I can't receive it since I lost my phone. Can you send it to my email instead?",SIM Swap Request,"Impersonation,Urgency,Evasion of Verification",
T00000006,"FC: Hi, I received a notification about suspicious activity on my account. Can you help me check it?

CCR: Sure, can you provide your account details to verify your identity?

FC: My name is Sarah White, my address is 456 Elm Street, and the last four of my Social are 8765.

CCR: Thank you. Can you also provide your account passcode?

FC: I forgot it. Can you tell me what email or phone number is on file for my account?",Phishing for Account Information,"Impersonation,Phishing,Evasion of Verification",
T00000007,"FC: Hi, I received a notification about suspicious activity on my account. Can you help me check it?

CCR: Sure, can you provide your account details to verify your identity?

FC: My name is Sarah White, my address is 456 Elm Street, and the last four of my Social are 8765.

CCR: Thank you. Can you also provide your account passcode?

FC: I forgot it. Can you tell me what email or phone number is on file for my account?",Unauthorized Purchase Attempt,"Impersonation,Phishing,Evasion of Verification",
T00000008,"

FC: Hi, I received a notification about suspicious activity on my account. Can you help me check it?

CCR: Sure, can you provide your account details to verify your identity?

FC: My name is Sarah White, my address is 456 Elm Street, and the last four of my Social are 8765.

CCR: Thank you. Can you also provide your account passcode?

FC: I forgot it. Can you tell me what email or phone number is on file for my account?",Account Takeover Attempt,"Impersonation,Phishing,Evasion of Verification",
T00000009,"FC: Hi, I lost my phone and need to suspend my line and get a new SIM card.

CCR: I'm sorry to hear that. Let's get that sorted out. Can you please verify your account information?

FC: My name is Robert Clark, my address is 654 Birch Road, and the last four of my Social are 0987.

CCR: Thank you. Can you provide your account passcode?

FC: I don't remember setting a passcode. Can you reset it for me?

CCR: I'll need to send a one-time PIN to the phone number on file.

FC: I can't receive it since I lost my phone. Can you send it to my email instead?",SIM Swap Request with Verification Evasion,"Impersonation,Urgency,Evasion of Verification",
T00000010,"FC: Hi, I received a notification about suspicious activity on my account. Can you help me check it?

CCR: Sure, can you provide your account details to verify your identity?

FC: My name is Sarah White, my address is 456 Elm Street, and the last four of my Social are 8765.

CCR: Thank you. Can you also provide your account passcode?

FC: I forgot it. Can you tell me what email or phone number is on file for my account?",Account Takeover Attempt,"Impersonation,Phishing,Evasion of Verification",
